,SPY,TLT,BIL,BTC-USD
2005-01-03,100.54671415301124,99.51190383702104,100.00466974736281,103.60444217275709
2005-01-04,100.4579672984135,99.52312669662804,100.00463324305449,97.84720254746148
2005-01-05,101.15885102186346,99.56374220727197,100.0079096452766,96.96326543270449
2005-01-06,102.75010995083669,99.87595240541147,100.02005792336148,96.91965128789894
2005-01-07,102.56089215583029,99.08681750611726,100.03784005592307,97.04344285766578
2005-01-10,102.37203964999462,99.46883718331195,100.04854897996177,97.64655637307334
2005-01-11,104.03989803946862,97.8846616891641,100.0545691333513,99.5128940064937
2005-01-12,104.8903562982185,97.54409086980267,100.07456015403142,99.48679941983605
2005-01-13,104.45036812023156,97.28758472871897,100.07643318479506,98.46788064465878
2005-01-14,105.0692992670905,97.68646002765183,100.09175407948281,97.34262118091493
2005-01-17,104.63492419420626,97.7290303329726,100.09387539610961,95.63469874594078
2005-01-18,104.19992568170527,96.93416315612112,100.10319436570462,97.97070056207883
2005-01-19,104.50415015169567,96.39036649887433,100.10706272787336,96.14885168049899
2005-01-20,102.55694496707162,96.53418864244165,100.11150896121453,98.66825285486435
2005-01-21,100.83920040733756,96.51735268886432,100.1127364632901,98.80342564472105
2005-01-24,100.32261375906447,96.21093473902896,100.13120580183379,97.33741556870193
2005-01-25,99.35667641305928,95.96222920939232,100.12887348532796,99.22111030564402
2005-01-26,99.71858045664916,96.39185287562499,100.1264680668457,97.13512361067174
2005-01-27,98.86297102856312,96.1213623535748,100.15271114970312,99.07253428003506
2005-01-28,97.51615711499096,96.0993940599559,100.16751219372975,99.78405178548005
2005-01-31,98.99415954980394,97.37940142575229,100.1486294787897,98.07876821718918
2005-02-01,98.82015127844956,96.57679106818007,100.14797592146039,99.71266677750496
2005-02-02,98.93629282811702,95.53269393403005,100.13483661380165,101.42749448637494
2005-02-03,97.57616793695564,96.0105043319127,100.13032362990681,105.03076588504882
2005-02-04,97.09376821942165,95.64836630775507,100.10390409716359,108.15904531788388
2005-02-07,97.25001402568722,95.494427419889,100.10753797321368,109.83964442627516
2005-02-08,96.17929761722212,95.07549926178483,100.10111165170986,106.2118904676445
2005-02-09,96.58873098123742,94.95581814301283,100.10671636557235,114.09893156967188
2005-02-10,96.05687605835314,95.89504785405711,100.09545314609838,109.38567741441267
2005-02-11,95.82471259267342,96.38533724995905,100.10128782870713,112.588259817247
2005-02-14,95.29604131714983,96.91288707500246,100.1021395277205,114.13505525801786
2005-02-15,97.1088371218266,96.11845702474139,100.12217950522542,110.20603916530692
2005-02-16,97.14428454240077,95.48340983611445,100.14131642670645,109.88324257248931
2005-02-17,96.16535097021098,93.8855453918616,100.15418804678133,109.7115404914722
2005-02-18,97.00443684730773,93.45777609657675,100.15592458238298,114.09643445358375
2005-02-21,95.86866655829088,94.0222815425104,100.1808171395256,111.74612468978118
2005-02-22,96.1168356350268,94.34211517204983,100.17026774606452,110.95738140904017
2005-02-23,94.28132114088605,94.24502962800804,100.16121677507977,103.2700223292951
2005-02-24,93.07623044734612,94.26069299149813,100.16538565419553,108.72710811861562
2005-02-25,93.30599958012883,93.8993622275857,100.19297158312419,105.32242231321887
2005-02-28,94.0416862039488,94.04289240706173,100.19595393806875,106.43961157413477
2005-03-01,94.24986466830055,94.50325772658844,100.19912769257087,106.20094896320896
2005-03-02,94.18799125099257,93.61536931074058,100.1896898329662,105.97367585222844
2005-03-03,93.95148172416,93.8117636952938,100.20417655663306,108.63317633700267
2005-03-04,92.60936414745434,94.3647473830539,100.21873798962875,114.1667193647396
2005-03-07,91.98902568528146,94.15803180382883,100.23165693861455,115.11941895737966
2005-03-08,91.61128308078953,94.58213875649605,100.23036173839954,117.47388051538694
2005-03-09,92.62553195750128,96.20780962143515,100.22828990898279,118.72694457243908
2005-03-10,92.99012299209608,96.17644041494327,100.2203405802981,122.44617803718884
2005-03-11,91.39716484472028,96.43225457942543,100.2261921703963,120.84366473705117
2005-03-14,91.73906698688572,96.03414920428456,100.22037496874418,124.83896373741948
2005-03-15,91.4316656291934,96.1673972562025,100.21358587512759,129.0978444821483
2005-03-16,90.8584604021178,96.46182622061194,100.21435059781697,133.39371858952748
2005-03-17,91.45964929100447,96.60353385628346,100.21445926850316,130.85864619911035
2005-03-18,92.44832766311669,96.04147788839683,100.2140786687302,130.30248006845045
2005-03-21,93.35550472293026,96.18920606874993,100.22376380421589,131.34281632848365
2005-03-22,92.61872672076396,97.06194762934376,100.22956723923132,126.04638293426626
2005-03-23,92.37864751874793,97.35233898011231,100.23169054216974,132.17823773955396
2005-03-24,92.7308535201621,97.94345489935662,100.23853649621644,132.23529961282955
2005-03-25,93.6818502697771,97.8335553086532,100.23360950109159,133.46744653109528
2005-03-28,93.27979190288242,98.30309781454359,100.23967642721443,131.2638812120953
2005-03-29,93.15324949175283,98.4973061055879,100.246198045551,126.14375936699255
2005-03-30,92.16923913794835,97.96488242609301,100.23614288213977,123.95883635877209
2005-03-31,91.11278921358443,98.181495127533,100.25113513942689,124.87317230858
2005-04-01,91.89866054805519,97.62675200929392,100.24731122323396,127.49586661160347
2005-04-04,93.19097629840236,97.28532376101022,100.25322892024988,128.21669588527988
2005-04-05,93.17046485121719,97.42502255217089,100.26991518537403,129.65294347438663
2005-04-06,94.15204634954368,97.62800423916192,100.28421043413182,128.44577198398787
2005-04-07,94.53961009063795,96.96067828758228,100.28956895432995,130.46075950719532
2005-04-08,93.97698619506191,97.60293754274466,100.29094794590314,136.36867317392918
2005-04-11,94.36360338645765,97.96719538233761,100.30546518005055,139.36110414644028
2005-04-12,95.86213191366953,97.58234393089441,100.31724801266995,142.85715257174917
2005-04-13,95.87571937475533,96.71137186349358,100.31606060736277,144.23150866223688
2005-04-14,97.42377059510588,96.65630175125902,100.31310235046627,137.84282416591745
2005-04-15,94.92022802001851,96.42667902075814,100.29732956783901,133.63310487843555
2005-04-18,95.74783986528374,96.52106557568345,100.30388933255634,135.56360532964152
2005-04-19,95.87905947272047,96.33973145297804,100.30807503647654,135.6275680942273
2005-04-20,95.64031356707586,95.20824624320825,100.32448735719473,137.52571477977833
2005-04-21,95.77589401826953,95.01496573150378,100.33310578338124,144.5522752159791
2005-04-22,93.92017006809044,94.86923988503294,100.35150917455825,147.8164217034711
2005-04-25,93.7608139424757,95.25839029558897,100.3495285947454,153.51719646877677
